13   40.1 r1.2 60.2 30.0 1
13   41.1 r2.2 57.0 49.0 1
13   41.1 r2.2 57.0 34.0 1
13   41.1 r2.2 57.0 58.0 1
13   42.1 r2.2 57.0 49.0 1
13   42.1 r2.2 57.0 34.0 1
13   42.1 r2.2 57.0 58.0 1
13   40.1 r2.2 57.0 49.0 1
13   40.1 r2.2 57.0 34.0 1
13   40.1 r2.2 57.0 58.0 1
13   57.0 r4.0 24.0      1
13   57.0 r4.0 35.0      1
13   41.1 r1.2 64.1 30.0 1
13   41.1 r1.2 64.1 36.0 1
13   41.1 r1.2 64.1 67.1 1
13   42.1 r1.2 64.1 30.0 1
13   42.1 r1.2 64.1 36.0 1
13   42.1 r1.2 64.1 67.1 1
13   40.1 r1.2 64.1 30.0 1
13   40.1 r1.2 64.1 36.0 1
13   40.1 r1.2 64.1 67.1 1
13   41.1 r2.2 66.0 38.0 1
13   41.1 r2.2 66.0 30.0 1
13   41.1 r2.2 66.0 36.0 1
13   41.1 r2.2 57.0 30.0 1
13   41.1 r2.2 57.0 36.0 1
13   42.1 r2.2 57.0 30.0 1
13   42.1 r2.2 57.0 36.0 1
13   40.1 r2.2 57.0 30.0 1
13   40.1 r2.2 57.0 36.0 1
13   42.1 r2.2 66.0 30.0 1
13   42.1 r2.2 66.0 36.0 1
13   42.1 r2.2 66.0 38.0 1
13   40.1 r2.2 66.0 30.0 1
13   40.1 r2.2 66.0 36.0 1
13   41.1 r2.2 96.0 30.0 1
13   41.1 r2.2 96.0 36.0 1
13   42.1 r2.2 96.0 30.0 1
13   42.1 r2.2 96.0 36.0 1
13   40.1 r2.2 96.0 30.0 1
13   40.1 r2.2 96.0 36.0 1
13   96.0 r4.0 24.0      1
13   66.0 r4.0 24.0      1
13   64.1 r1.3 62.1 73.0 1
13   64.1 r1.3 62.1 75.0 1
13   64.1 r1.3 62.1 96.0 1
13   72.1 r1.3 62.1 73.0 1
13   72.1 r1.3 62.1 75.0 1
13   72.1 r1.3 62.1 96.0 1
13   60.2 r1.3 62.1 73.0 1
13   60.2 r1.3 62.1 75.0 1
13   60.2 r1.3 62.1 96.0 1
13   64.1 r1.1 63.1      1
13   72.1 r1.1 63.1      1
13   60.2 r1.1 63.1      1
13   64.1 r1.1 88.1      1
13   72.1 r1.1 88.1      1
13   60.2 r1.1 88.1      1
13   88.1 r3.0 89.0      1
13   64.1 r1.1 61.2      1
13   72.1 r1.1 61.2      1
13   60.2 r1.1 61.2      1
13   64.1 r2.2 14.0 45.1 1
13   64.1 r2.2 14.0 05.1 1
13   72.1 r2.2 14.0 45.1 1
13   72.1 r2.2 14.0 05.1 1
13   60.2 r2.2 14.0 45.1 1
13   60.2 r2.2 14.0 05.1 1
13   63.2 r1.1 63.1      2
13   88.1 r1.1 63.1      2
13   61.2 r1.1 63.1      2
13   63.1 r1.1 61.1      2
13   61.1 r5.0           2
19 0 11.0 r1.1 16.0      -
19 0 11.0 r1.1 04.1      -
19 0 11.0 r1.1 06.2      -
19 0 06.2 r1.1 16.0      -
19 0 06.2 r1.1 04.1      -
19 0 23.0 r1.1 16.0      -
19 0 23.0 r1.1 04.1      -
19 0 23.0 r1.1 06.2      -
19 0 16.0 r1.2 41.2 27.0 0
19 0 16.0 r1.2 41.2 91.0 0
19 0 16.0 r1.2 41.2 46.0 0
19 0 16.0 r1.2 41.2 48.0 0
19 0 16.0 r1.3 41.2 10.1 0
19 0 04.1 r1.2 41.2 27.0 0
19 0 04.1 r1.2 41.2 91.0 0
19 0 04.1 r1.2 41.2 46.0 0
19 0 04.1 r1.2 41.2 48.0 0
19 0 04.1 r1.3 41.2 10.1 0
19 0 06.2 r1.2 41.2 27.0 0
19 0 06.2 r1.2 41.2 91.0 0
19 0 06.2 r1.2 41.2 46.0 0
19 0 06.2 r1.2 41.2 48.0 0
19 0 06.2 r1.3 41.2 10.1 0
19 0 16.0 r1.2 40.2 27.0 0
19 0 16.0 r1.2 40.2 91.0 0
19 0 16.0 r1.2 40.2 46.0 0
19 0 16.0 r1.2 40.2 48.0 0
19 0 16.0 r1.3 40.2 10.1 0
19 0 04.1 r1.2 40.2 27.0 0
19 0 04.1 r1.2 40.2 91.0 0
19 0 04.1 r1.2 40.2 46.0 0
19 0 04.1 r1.2 40.2 48.0 0
19 0 04.1 r1.3 40.2 10.1 0
19 0 06.2 r1.2 40.2 27.0 0
19 0 06.2 r1.2 40.2 91.0 0
19 0 06.2 r1.2 40.2 46.0 0
19 0 06.2 r1.2 40.2 48.0 0
19 0 06.2 r1.3 40.2 10.1 0
19 0 16.0 r1.2 40.2 55.0 0
19 0 16.0 r1.2 40.2 32.1 0
19 0 04.1 r1.2 40.2 55.0 0
19 0 04.1 r1.2 40.2 32.1 0
19 0 06.2 r1.2 40.2 55.0 0
19 0 06.2 r1.2 40.2 32.1 0
19 0 16.0 r1.2 05.1 27.0 0
19 0 16.0 r1.2 05.1 91.0 0
19 0 16.0 r1.2 05.1 46.0 0
19 0 16.0 r1.2 05.1 48.0 0
19 0 16.0 r1.3 05.1 10.1 0
19 0 04.1 r1.2 05.1 27.0 0
19 0 04.1 r1.2 05.1 91.0 0
19 0 04.1 r1.2 05.1 46.0 0
19 0 04.1 r1.2 05.1 48.0 0
19 0 04.1 r1.3 05.1 10.1 0
19 0 06.2 r1.2 05.1 27.0 0
19 0 06.2 r1.2 05.1 91.0 0
19 0 06.2 r1.2 05.1 46.0 0
19 0 06.2 r1.2 05.1 48.0 0
19 0 06.2 r1.3 05.1 10.1 0
19 0 16.0 r1.2 05.1 45.2 0
19 0 16.0 r1.2 05.1 96.0 0
19 0 04.1 r1.2 05.1 45.2 0
19 0 04.1 r1.2 05.1 96.0 0
19 0 06.2 r1.2 05.1 45.2 0
